artist,style,canonical_subgenres,confidence,status,country,city,stage,booking,official_names,evidence_tags,source_note,source_urls,social_discovery_links
KIM SWIM,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,DJ CRINGEY B2B KIM SWIM,KIM SWIM,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KIM%20SWIM&type=artist&method=indexed;https://www.beatport.com/search?q=KIM%20SWIM;https://www.discogs.com/search/?q=KIM%20SWIM&type=all;https://soundcloud.com/search?q=KIM%20SWIM;https://www.youtube.com/results?search_query=KIM%20SWIM
KiNK,acid_techno,acid techno / house / techno,high,published,Bulgaria,,JUNKYARD,KINK,KiNK,,curated_known_artist_or_scene_source; stages: JUNKYARD. Official HIVE Junkyard stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KiNK&type=artist&method=indexed;https://www.beatport.com/search?q=KiNK;https://www.discogs.com/search/?q=KiNK&type=all;https://soundcloud.com/search?q=KiNK;https://www.youtube.com/results?search_query=KiNK
KISTENBRÜGGER,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,KISTENBRÜGGER,KISTENBRÜGGER,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KISTENBR%C3%9CGGER&type=artist&method=indexed;https://www.beatport.com/search?q=KISTENBR%C3%9CGGER;https://www.discogs.com/search/?q=KISTENBR%C3%9CGGER&type=all;https://soundcloud.com/search?q=KISTENBR%C3%9CGGER;https://www.youtube.com/results?search_query=KISTENBR%C3%9CGGER
Klangkuenstler,schranz,schranz / hard techno,high,published,Germany,,TECHNO CASTLE,KLANGKUENSTLER,Klangkuenstler,,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Klangkuenstler&type=artist&method=indexed;https://www.beatport.com/search?q=Klangkuenstler;https://www.discogs.com/search/?q=Klangkuenstler&type=all;https://soundcloud.com/search?q=Klangkuenstler;https://www.youtube.com/results?search_query=Klangkuenstler
KLING&KLANG,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,ARMAN JOHN B2B KLING&KLANG,KLING&KLANG,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KLING%26KLANG&type=artist&method=indexed;https://www.beatport.com/search?q=KLING%26KLANG;https://www.discogs.com/search/?q=KLING%26KLANG&type=all;https://soundcloud.com/search?q=KLING%26KLANG;https://www.youtube.com/results?search_query=KLING%26KLANG
Klofama,hard_techno,hard techno / rave techno,medium_high,published,,,TECHNO CASTLE,FANTASM B2B KLOFAMA,KLOFAMA,,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Klofama&type=artist&method=indexed;https://www.beatport.com/search?q=Klofama;https://www.discogs.com/search/?q=Klofama&type=all;https://soundcloud.com/search?q=Klofama;https://www.youtube.com/results?search_query=Klofama
KØ:LAB,hardstyle,hardstyle / hard dance,high,published,DE,,RAGE CAGE,KØ:LAB,KØ:LAB,hardstyle,musicbrainz_artist_tags; stages: RAGE CAGE. MusicBrainz tags/disambiguation matched: hardstyle. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/1e564f96-e0a2-49c2-b11c-0f0fdf14dc34,https://musicbrainz.org/search?query=K%C3%98%3ALAB&type=artist&method=indexed;https://www.beatport.com/search?q=K%C3%98%3ALAB;https://www.discogs.com/search/?q=K%C3%98%3ALAB&type=all;https://soundcloud.com/search?q=K%C3%98%3ALAB;https://www.youtube.com/results?search_query=K%C3%98%3ALAB
Kobosil,industrial_techno,industrial techno / hard techno,high,published,Germany,Berlin,TECHNO CASTLE,KOBOSIL,KOBOSIL,industrial techno,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. MusicBrainz tags/disambiguation matched: industrial techno. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/c6b2c2c3-e771-4228-9401-b263369d5b48,https://musicbrainz.org/search?query=Kobosil&type=artist&method=indexed;https://www.beatport.com/search?q=Kobosil;https://www.discogs.com/search/?q=Kobosil&type=all;https://soundcloud.com/search?q=Kobosil;https://www.youtube.com/results?search_query=Kobosil
Kruelty,rawstyle,rawstyle / hardcore / hardstyle,high,published,,,RAGE CAGE,KRUELTY,KRUELTY,,curated_known_artist_or_scene_source; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Kruelty&type=artist&method=indexed;https://www.beatport.com/search?q=Kruelty;https://www.discogs.com/search/?q=Kruelty&type=all;https://soundcloud.com/search?q=Kruelty;https://www.youtube.com/results?search_query=Kruelty
Krumelur,dark_progressive,dark progressive psytrance / psytrance,high,published,International,,PIRATE BAY,KRUMELUR (LIVE),KRUMELUR,psytrance; trance,"curated_known_artist_or_scene_source; stages: PIRATE BAY. MusicBrainz tags/disambiguation matched: psytrance, trance. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.",https://www.hive-festival.de/;https://musicbrainz.org/artist/8a733e06-a67d-4c40-a8e1-dd2b06bff152,https://musicbrainz.org/search?query=Krumelur&type=artist&method=indexed;https://www.beatport.com/search?q=Krumelur;https://www.discogs.com/search/?q=Krumelur&type=all;https://soundcloud.com/search?q=Krumelur;https://www.youtube.com/results?search_query=Krumelur
KUKO,hard_techno,hard techno / industrial techno / schranz,medium,published,,,TECHNO CASTLE,KUKO (LIVE),KUKO,,official_hive_stage_context; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KUKO&type=artist&method=indexed;https://www.beatport.com/search?q=KUKO;https://www.discogs.com/search/?q=KUKO&type=all;https://soundcloud.com/search?q=KUKO;https://www.youtube.com/results?search_query=KUKO
KYANU,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,KYANU,KYANU,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KYANU&type=artist&method=indexed;https://www.beatport.com/search?q=KYANU;https://www.discogs.com/search/?q=KYANU&type=all;https://soundcloud.com/search?q=KYANU;https://www.youtube.com/results?search_query=KYANU
KYOSHI,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,KYOSHI,KYOSHI,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=KYOSHI&type=artist&method=indexed;https://www.beatport.com/search?q=KYOSHI;https://www.discogs.com/search/?q=KYOSHI&type=all;https://soundcloud.com/search?q=KYOSHI;https://www.youtube.com/results?search_query=KYOSHI
L.ZWO,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,L.ZWO,L.ZWO,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=L.ZWO&type=artist&method=indexed;https://www.beatport.com/search?q=L.ZWO;https://www.discogs.com/search/?q=L.ZWO&type=all;https://soundcloud.com/search?q=L.ZWO;https://www.youtube.com/results?search_query=L.ZWO
Laure Croft,techno,techno / hard techno,medium_high,published,,,JUNKYARD,LAURE CROFT B2B HENNING BAER,LAURE CROFT,,curated_known_artist_or_scene_source; stages: JUNKYARD. Official HIVE Junkyard stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Laure%20Croft&type=artist&method=indexed;https://www.beatport.com/search?q=Laure%20Croft;https://www.discogs.com/search/?q=Laure%20Croft&type=all;https://soundcloud.com/search?q=Laure%20Croft;https://www.youtube.com/results?search_query=Laure%20Croft
LAWYA,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,MARTIN MEYER B2B LAWYA,LAWYA,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LAWYA&type=artist&method=indexed;https://www.beatport.com/search?q=LAWYA;https://www.discogs.com/search/?q=LAWYA&type=all;https://soundcloud.com/search?q=LAWYA;https://www.youtube.com/results?search_query=LAWYA
LE BARD,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,LE BARD(LIVE),LE BARD,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LE%20BARD&type=artist&method=indexed;https://www.beatport.com/search?q=LE%20BARD;https://www.discogs.com/search/?q=LE%20BARD&type=all;https://soundcloud.com/search?q=LE%20BARD;https://www.youtube.com/results?search_query=LE%20BARD
Lee Ann Roberts,hard_techno,hard techno / techno,high,published,South Africa,Durban,TECHNO CASTLE,CHARLIE SPARKS B2B LEE ANN ROBERTS,LEE ANN ROBERTS,acid techno; hard techno,"curated_known_artist_or_scene_source; stages: TECHNO CASTLE. MusicBrainz tags/disambiguation matched: acid techno, hard techno. Official HIVE Techno Castle stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/dbd1abf5-1c60-4743-b115-aa428c27085c,https://musicbrainz.org/search?query=Lee%20Ann%20Roberts&type=artist&method=indexed;https://www.beatport.com/search?q=Lee%20Ann%20Roberts;https://www.discogs.com/search/?q=Lee%20Ann%20Roberts&type=all;https://soundcloud.com/search?q=Lee%20Ann%20Roberts;https://www.youtube.com/results?search_query=Lee%20Ann%20Roberts
LESSSS,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,LESSSS,LESSSS,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LESSSS&type=artist&method=indexed;https://www.beatport.com/search?q=LESSSS;https://www.discogs.com/search/?q=LESSSS&type=all;https://soundcloud.com/search?q=LESSSS;https://www.youtube.com/results?search_query=LESSSS
LEVT,hard_techno,hard techno / rave techno,medium_high,published,,,SLEEPLESS,LEVT,LEVT,,curated_known_artist_or_scene_source; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LEVT&type=artist&method=indexed;https://www.beatport.com/search?q=LEVT;https://www.discogs.com/search/?q=LEVT&type=all;https://soundcloud.com/search?q=LEVT;https://www.youtube.com/results?search_query=LEVT
LIBRA,psytrance,psytrance,medium_high,published,,,PSY LAGOON,LIBRA,LIBRA,,official_hive_stage_context; stages: PSY LAGOON. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LIBRA&type=artist&method=indexed;https://www.beatport.com/search?q=LIBRA;https://www.discogs.com/search/?q=LIBRA&type=all;https://soundcloud.com/search?q=LIBRA;https://www.youtube.com/results?search_query=LIBRA
Lil Texas,hardcore,hardcore / uptempo / hard dance,high,published,,,RAGE CAGE,LIL TEXAS,LIL TEXAS,gabber; hardcore,"curated_known_artist_or_scene_source; stages: RAGE CAGE. MusicBrainz tags/disambiguation matched: gabber, hardcore. Official HIVE Rage Cage stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/dcc6aac2-482a-4de4-b88f-4a28805b0b0e,https://musicbrainz.org/search?query=Lil%20Texas&type=artist&method=indexed;https://www.beatport.com/search?q=Lil%20Texas;https://www.discogs.com/search/?q=Lil%20Texas&type=all;https://soundcloud.com/search?q=Lil%20Texas;https://www.youtube.com/results?search_query=Lil%20Texas
Liquid Soul,progressive_psy,progressive psytrance / psytrance,high,published,International,,PSY LAGOON,LIQUID SOUL,LIQUID SOUL,psytrance,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/b2e9df97-3deb-4e4e-8193-ab1af10cfd83,https://musicbrainz.org/search?query=Liquid%20Soul&type=artist&method=indexed;https://www.beatport.com/search?q=Liquid%20Soul;https://www.discogs.com/search/?q=Liquid%20Soul&type=all;https://soundcloud.com/search?q=Liquid%20Soul;https://www.youtube.com/results?search_query=Liquid%20Soul
LOLA CERISE,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,LOLA CERISE,LOLA CERISE,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LOLA%20CERISE&type=artist&method=indexed;https://www.beatport.com/search?q=LOLA%20CERISE;https://www.discogs.com/search/?q=LOLA%20CERISE&type=all;https://soundcloud.com/search?q=LOLA%20CERISE;https://www.youtube.com/results?search_query=LOLA%20CERISE
LOVI,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,SPAECE B2B LOVI,LOVI,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LOVI&type=artist&method=indexed;https://www.beatport.com/search?q=LOVI;https://www.discogs.com/search/?q=LOVI&type=all;https://soundcloud.com/search?q=LOVI;https://www.youtube.com/results?search_query=LOVI
LUCIID,hard_techno,hard techno / acid techno,medium_high,published,,,SLEEPLESS,BEN TECHY B2B LUCIID,LUCIID,,curated_known_artist_or_scene_source; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LUCIID&type=artist&method=indexed;https://www.beatport.com/search?q=LUCIID;https://www.discogs.com/search/?q=LUCIID&type=all;https://soundcloud.com/search?q=LUCIID;https://www.youtube.com/results?search_query=LUCIID
Luis M,dark_progressive,dark progressive psytrance / progressive psytrance,high,published,,,PIRATE BAY,LUIS M B2B RHABIA,LUIS M,,curated_known_artist_or_scene_source; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Luis%20M&type=artist&method=indexed;https://www.beatport.com/search?q=Luis%20M;https://www.discogs.com/search/?q=Luis%20M&type=all;https://soundcloud.com/search?q=Luis%20M;https://www.youtube.com/results?search_query=Luis%20M
LUKAS MEUNIER,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,LUKAS MEUNIER,LUKAS MEUNIER,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LUKAS%20MEUNIER&type=artist&method=indexed;https://www.beatport.com/search?q=LUKAS%20MEUNIER;https://www.discogs.com/search/?q=LUKAS%20MEUNIER&type=all;https://soundcloud.com/search?q=LUKAS%20MEUNIER;https://www.youtube.com/results?search_query=LUKAS%20MEUNIER
LUKE MADNESS,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,LUKE MADNESS,LUKE MADNESS,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=LUKE%20MADNESS&type=artist&method=indexed;https://www.beatport.com/search?q=LUKE%20MADNESS;https://www.discogs.com/search/?q=LUKE%20MADNESS&type=all;https://soundcloud.com/search?q=LUKE%20MADNESS;https://www.youtube.com/results?search_query=LUKE%20MADNESS
M.O.E.,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,DON ANDRES & M.O.E. (LIVE SET),M.O.E.,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=M.O.E.&type=artist&method=indexed;https://www.beatport.com/search?q=M.O.E.;https://www.discogs.com/search/?q=M.O.E.&type=all;https://soundcloud.com/search?q=M.O.E.;https://www.youtube.com/results?search_query=M.O.E.
MACON,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,MACON B2B ACID ASIAN,MACON,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MACON&type=artist&method=indexed;https://www.beatport.com/search?q=MACON;https://www.discogs.com/search/?q=MACON&type=all;https://soundcloud.com/search?q=MACON;https://www.youtube.com/results?search_query=MACON
Mad Maxx,full_on,full-on psytrance / psytrance,high,published,International,,PSY LAGOON,MAD MAXX,MAD MAXX,,curated_known_artist_or_scene_source; stages: PSY LAGOON. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://nanorecords.bandcamp.com/music,https://musicbrainz.org/search?query=Mad%20Maxx&type=artist&method=indexed;https://www.beatport.com/search?q=Mad%20Maxx;https://www.discogs.com/search/?q=Mad%20Maxx&type=all;https://soundcloud.com/search?q=Mad%20Maxx;https://www.youtube.com/results?search_query=Mad%20Maxx
MAEDCHENBALLERN,techno,queer techno / club rave / hard groove,low,needs_review,,,LIBIDOH LAB,MAEDCHENBALLERN,MAEDCHENBALLERN,,official_hive_stage_context; stages: LIBIDOH LAB. Official HIVE Libidoh Lab stage context only.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MAEDCHENBALLERN&type=artist&method=indexed;https://www.beatport.com/search?q=MAEDCHENBALLERN;https://www.discogs.com/search/?q=MAEDCHENBALLERN&type=all;https://soundcloud.com/search?q=MAEDCHENBALLERN;https://www.youtube.com/results?search_query=MAEDCHENBALLERN
MAIKE DEPAS,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,HU B2B MAIKE DEPAS,MAIKE DEPAS,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MAIKE%20DEPAS&type=artist&method=indexed;https://www.beatport.com/search?q=MAIKE%20DEPAS;https://www.discogs.com/search/?q=MAIKE%20DEPAS&type=all;https://soundcloud.com/search?q=MAIKE%20DEPAS;https://www.youtube.com/results?search_query=MAIKE%20DEPAS
MAKITA,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,MAKITA,MAKITA,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MAKITA&type=artist&method=indexed;https://www.beatport.com/search?q=MAKITA;https://www.discogs.com/search/?q=MAKITA&type=all;https://soundcloud.com/search?q=MAKITA;https://www.youtube.com/results?search_query=MAKITA
MARRE,techno,queer techno / club rave / hard groove,low,needs_review,,,LIBIDOH LAB,MARRE,MARRE,,official_hive_stage_context; stages: LIBIDOH LAB. Official HIVE Libidoh Lab stage context only.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MARRE&type=artist&method=indexed;https://www.beatport.com/search?q=MARRE;https://www.discogs.com/search/?q=MARRE&type=all;https://soundcloud.com/search?q=MARRE;https://www.youtube.com/results?search_query=MARRE
MARRØN,hypnotic_techno,hypnotic techno / techno,high,published,Netherlands,Amsterdam,JUNKYARD,MARRØN,MARRØN,,curated_known_artist_or_scene_source; stages: JUNKYARD. Official HIVE Junkyard stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MARR%C3%98N&type=artist&method=indexed;https://www.beatport.com/search?q=MARR%C3%98N;https://www.discogs.com/search/?q=MARR%C3%98N&type=all;https://soundcloud.com/search?q=MARR%C3%98N;https://www.youtube.com/results?search_query=MARR%C3%98N
MARTIN MEYER,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,MARTIN MEYER B2B LAWYA,MARTIN MEYER,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MARTIN%20MEYER&type=artist&method=indexed;https://www.beatport.com/search?q=MARTIN%20MEYER;https://www.discogs.com/search/?q=MARTIN%20MEYER&type=all;https://soundcloud.com/search?q=MARTIN%20MEYER;https://www.youtube.com/results?search_query=MARTIN%20MEYER
MIJA,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,MIJA B2B OLLIE LISHMAN,MIJA,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MIJA&type=artist&method=indexed;https://www.beatport.com/search?q=MIJA;https://www.discogs.com/search/?q=MIJA&type=all;https://soundcloud.com/search?q=MIJA;https://www.youtube.com/results?search_query=MIJA
MIKA HEGGEMANN,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,MIKA HEGGEMANN B2B CLEOPARD2000,MIKA HEGGEMANN,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MIKA%20HEGGEMANN&type=artist&method=indexed;https://www.beatport.com/search?q=MIKA%20HEGGEMANN;https://www.discogs.com/search/?q=MIKA%20HEGGEMANN&type=all;https://soundcloud.com/search?q=MIKA%20HEGGEMANN;https://www.youtube.com/results?search_query=MIKA%20HEGGEMANN
MIKE VOM MOND,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,PLATTENPUNANI B2B MIKE VOM MOND,MIKE VOM MOND,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MIKE%20VOM%20MOND&type=artist&method=indexed;https://www.beatport.com/search?q=MIKE%20VOM%20MOND;https://www.discogs.com/search/?q=MIKE%20VOM%20MOND&type=all;https://soundcloud.com/search?q=MIKE%20VOM%20MOND;https://www.youtube.com/results?search_query=MIKE%20VOM%20MOND
Mischluft,hard_trance,trance / hard trance / rave,medium_high,published,,,GROOVE BEACH,MISCHLUFT,MISCHLUFT,trance,curated_known_artist_or_scene_source; stages: GROOVE BEACH. MusicBrainz tags/disambiguation matched: trance. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/;https://musicbrainz.org/artist/2a5813d4-03b8-4b14-871b-e1f5866ce31f,https://musicbrainz.org/search?query=Mischluft&type=artist&method=indexed;https://www.beatport.com/search?q=Mischluft;https://www.discogs.com/search/?q=Mischluft&type=all;https://soundcloud.com/search?q=Mischluft;https://www.youtube.com/results?search_query=Mischluft
Miss K8,gabber,hardcore / gabber,high,published,Ukraine,,RAGE CAGE,MISS K8,MISS K8,,curated_known_artist_or_scene_source; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Miss%20K8&type=artist&method=indexed;https://www.beatport.com/search?q=Miss%20K8;https://www.discogs.com/search/?q=Miss%20K8&type=all;https://soundcloud.com/search?q=Miss%20K8;https://www.youtube.com/results?search_query=Miss%20K8
MODETEK,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,MODETEK(LIVE),MODETEK,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MODETEK&type=artist&method=indexed;https://www.beatport.com/search?q=MODETEK;https://www.discogs.com/search/?q=MODETEK&type=all;https://soundcloud.com/search?q=MODETEK;https://www.youtube.com/results?search_query=MODETEK
MONTI,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,MONTI,MONTI,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=MONTI&type=artist&method=indexed;https://www.beatport.com/search?q=MONTI;https://www.discogs.com/search/?q=MONTI&type=all;https://soundcloud.com/search?q=MONTI;https://www.youtube.com/results?search_query=MONTI
N8SCHICHT,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,NOISE NOT WAR B2B N8SCHICHT (LIVE),N8SCHICHT,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=N8SCHICHT&type=artist&method=indexed;https://www.beatport.com/search?q=N8SCHICHT;https://www.discogs.com/search/?q=N8SCHICHT&type=all;https://soundcloud.com/search?q=N8SCHICHT;https://www.youtube.com/results?search_query=N8SCHICHT
NATTE VISSTICK,hard_trance,hard trance / hard techno / bounce,medium_low,needs_review,,,WARM-UP PARTY,VIEZE ASBAK F2F NATTE VISSTICK,NATTE VISSTICK,,official_hive_stage_context; stages: WARM-UP PARTY. Warm-up screenshot context; individual artist check recommended.,,https://musicbrainz.org/search?query=NATTE%20VISSTICK&type=artist&method=indexed;https://www.beatport.com/search?q=NATTE%20VISSTICK;https://www.discogs.com/search/?q=NATTE%20VISSTICK&type=all;https://soundcloud.com/search?q=NATTE%20VISSTICK;https://www.youtube.com/results?search_query=NATTE%20VISSTICK
NATTE VISTICK,hard_techno,hard techno / industrial techno / schranz,medium,published,,,TECHNO CASTLE,NATTE VISTICK B2B BYORN,NATTE VISTICK,,official_hive_stage_context; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=NATTE%20VISTICK&type=artist&method=indexed;https://www.beatport.com/search?q=NATTE%20VISTICK;https://www.discogs.com/search/?q=NATTE%20VISTICK&type=all;https://soundcloud.com/search?q=NATTE%20VISTICK;https://www.youtube.com/results?search_query=NATTE%20VISTICK
NEEK,hardcore,hard dance / hardcore / rawstyle,medium,published,,,RAGE CAGE,NEEK,NEEK,,official_hive_stage_context; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=NEEK&type=artist&method=indexed;https://www.beatport.com/search?q=NEEK;https://www.discogs.com/search/?q=NEEK&type=all;https://soundcloud.com/search?q=NEEK;https://www.youtube.com/results?search_query=NEEK
NEGITIV,hard_trance,hard trance / hard techno / bounce,medium_low,needs_review,,,WARM-UP PARTY,NICOLAS JULIAN F2F NEGITIV,NEGITIV,,official_hive_stage_context; stages: WARM-UP PARTY. Warm-up screenshot context; individual artist check recommended.,,https://musicbrainz.org/search?query=NEGITIV&type=artist&method=indexed;https://www.beatport.com/search?q=NEGITIV;https://www.discogs.com/search/?q=NEGITIV&type=all;https://soundcloud.com/search?q=NEGITIV;https://www.youtube.com/results?search_query=NEGITIV
NEON GRAVEYARD,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,NEON GRAVEYARD,NEON GRAVEYARD,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=NEON%20GRAVEYARD&type=artist&method=indexed;https://www.beatport.com/search?q=NEON%20GRAVEYARD;https://www.discogs.com/search/?q=NEON%20GRAVEYARD&type=all;https://soundcloud.com/search?q=NEON%20GRAVEYARD;https://www.youtube.com/results?search_query=NEON%20GRAVEYARD
